temperature,humidity,rainfall_7d_mm,growth_stage,likely_pest,risk_score,risk_level
31.9,56.5,97.7,Seedling,Stem Borer,0.385,Low
37.7,96.5,40.7,Seedling,Rice Blast Risk,0.592,Medium
21.0,63.8,40.2,Ripening,Rice Blast Risk,0.565,Medium
19.8,37.6,35.0,Tillering,Stem Borer,0.389,Low
31.5,78.1,41.6,Vegetative,Stem Borer,1.0,High
24.8,97.4,44.3,Ripening,Rice Blast Risk,0.964,High
19.4,93.6,16.8,Ripening,Rice Bug,0.781,High
27.5,70.0,42.7,Vegetative,Stem Borer,1.0,High
33.1,56.3,53.6,Vegetative,Stem Borer,0.414,Low
23.7,70.6,37.1,Tillering,Stem Borer,0.739,High
24.7,87.1,19.8,Ripening,Rice Blast Risk,0.829,High
34.9,90.3,44.8,Flowering,Rice Bug,1.0,High
28.4,87.3,57.7,Tillering,Leaf Folder,1.0,High
34.9,61.9,86.5,Vegetative,Stem Borer,0.435,Medium
26.9,38.3,85.3,Vegetative,Stem Borer,0.698,High
37.1,69.8,24.3,Seedling,Rice Bug,0.461,Medium
31.0,41.0,4.4,Flowering,Rice Bug,0.69,High
20.3,34.3,36.5,Ripening,Rice Blast Risk,0.613,Medium
35.7,64.9,18.9,Flowering,Rice Bug,0.7,High
27.8,75.9,47.5,Vegetative,Leaf Folder,1.0,High
20.8,89.8,117.5,Tillering,Rice Blast Risk,1.0,High
21.1,84.8,21.7,Ripening,Rice Bug,0.796,High
31.8,90.0,38.3,Tillering,Stem Borer,0.974,High
18.9,83.2,87.0,Ripening,Rice Bug,0.71,High
23.7,79.2,61.1,Tillering,Stem Borer,0.719,High
20.8,30.7,5.3,Tillering,Leaf Folder,0.335,Low
26.8,73.8,19.4,Tillering,Stem Borer,0.838,High
26.3,38.4,112.2,Vegetative,Stem Borer,0.797,High
28.4,34.1,12.4,Tillering,Leaf Folder,0.61,Medium
23.6,40.9,76.2,Vegetative,Rice Blast Risk,0.5,Medium
18.6,87.6,95.1,Flowering,Rice Bug,0.738,High
30.3,82.1,31.9,Flowering,Rice Bug,1.0,High
25.5,96.4,87.0,Vegetative,Leaf Folder,0.892,High
31.0,98.5,20.4,Ripening,Rice Bug,1.0,High
20.2,92.5,34.2,Tillering,Rice Blast Risk,0.954,High
18.3,39.3,37.4,Ripening,Rice Bug,0.513,Medium
23.0,91.5,119.6,Flowering,Rice Blast Risk,0.966,High
27.1,88.7,25.7,Ripening,Rice Bug,1.0,High
25.9,91.0,15.5,Ripening,Rice Blast Risk,0.806,High
34.2,40.6,111.1,Vegetative,Stem Borer,0.365,Low
25.6,38.2,19.4,Vegetative,Leaf Folder,0.635,Medium
28.6,94.7,105.5,Ripening,Rice Bug,1.0,High
29.9,42.2,78.1,Vegetative,Stem Borer,0.709,High
18.4,55.8,69.2,Flowering,Rice Bug,0.522,Medium
28.3,61.9,90.2,Seedling,Stem Borer,0.4,Low
24.9,38.7,87.1,Ripening,Rice Blast Risk,0.481,Medium
26.4,31.4,13.3,Flowering,Brown Planthopper,0.583,Medium
20.0,99.6,119.9,Tillering,Rice Blast Risk,1.0,High
33.7,91.4,113.0,Tillering,Stem Borer,0.667,Medium
36.8,93.9,107.6,Flowering,Rice Bug,1.0,High
18.4,49.9,74.7,Vegetative,Stem Borer,0.402,Low
30.0,45.4,62.7,Vegetative,Stem Borer,0.689,High
33.3,59.8,64.4,Vegetative,Stem Borer,0.46,Medium
23.7,61.7,1.8,Seedling,Rice Blast Risk,0.263,Low
33.8,30.4,59.9,Ripening,Rice Bug,0.716,High
30.6,84.5,74.9,Flowering,Rice Bug,1.0,High
36.6,99.8,79.0,Tillering,Stem Borer,0.792,High
37.6,67.0,39.9,Ripening,Rice Bug,1.0,High
18.8,57.2,56.6,Flowering,Rice Bug,0.503,Medium
26.9,57.5,76.4,Tillering,Stem Borer,0.723,High
28.9,36.7,51.4,Seedling,Stem Borer,0.441,Medium
20.9,48.6,115.5,Tillering,Rice Blast Risk,0.614,Medium
24.7,65.1,84.7,Seedling,Rice Blast Risk,0.566,Medium
37.8,60.2,0.2,Flowering,Rice Bug,0.796,High
18.3,68.2,2.8,Seedling,Rice Bug,0.273,Low
27.1,89.4,82.8,Tillering,Leaf Folder,1.0,High
34.9,45.8,49.5,Vegetative,Stem Borer,0.354,Low
24.5,31.9,100.7,Seedling,Rice Blast Risk,0.534,Medium
27.6,32.7,20.8,Tillering,Stem Borer,0.674,Medium
37.6,39.4,1.7,Vegetative,Leaf Folder,0.291,Low
27.5,69.9,46.6,Vegetative,Stem Borer,0.617,Medium
20.6,86.6,88.3,Ripening,Rice Blast Risk,0.979,High
19.0,92.1,116.6,Vegetative,Stem Borer,0.687,High
36.9,74.5,106.0,Tillering,Stem Borer,0.705,High
23.3,58.2,58.1,Seedling,Rice Blast Risk,0.578,Medium
28.1,40.8,97.5,Vegetative,Stem Borer,0.709,High
19.8,58.1,8.4,Vegetative,Leaf Folder,0.337,Low
26.5,53.3,68.7,Flowering,Rice Blast Risk,0.504,Medium
36.6,90.9,110.9,Seedling,Rice Blast Risk,0.694,High
28.0,64.1,47.6,Ripening,Rice Bug,0.745,High
37.4,45.8,115.2,Seedling,Rice Bug,0.228,Low
23.2,50.2,26.5,Flowering,Rice Bug,0.491,Medium
28.1,39.6,12.7,Seedling,Brown Planthopper,0.363,Low
35.2,94.3,63.0,Ripening,Rice Bug,0.973,High
27.0,33.5,108.9,Flowering,Rice Blast Risk,0.522,Medium
23.6,30.9,37.4,Ripening,Rice Blast Risk,0.536,Medium
35.1,42.8,96.0,Ripening,Rice Bug,0.783,High
25.8,86.8,20.3,Ripening,Rice Blast Risk,0.82,High
28.6,66.6,89.5,Flowering,Rice Bug,1.0,High
37.5,73.8,66.8,Ripening,Rice Bug,1.0,High
21.7,55.0,21.0,Seedling,Rice Blast Risk,0.448,Medium
24.0,34.8,86.2,Flowering,Rice Blast Risk,0.578,Medium
18.6,89.9,85.7,Ripening,Rice Bug,0.777,High
25.8,43.4,61.9,Vegetative,Leaf Folder,0.626,Medium
22.0,32.3,27.1,Ripening,Rice Bug,0.541,Medium
31.6,70.1,15.9,Tillering,Stem Borer,0.867,High
21.6,35.8,114.9,Tillering,Rice Blast Risk,0.476,Medium
31.5,36.7,78.7,Vegetative,Stem Borer,0.776,High
23.3,86.0,97.1,Seedling,Rice Blast Risk,0.938,High
25.1,64.4,83.6,Ripening,Rice Blast Risk,0.572,Medium
25.0,46.9,99.5,Flowering,Rice Blast Risk,0.506,Medium
32.3,54.4,19.5,Tillering,Leaf Folder,0.406,Low
27.3,81.0,59.6,Ripening,Rice Bug,1.0,High
25.2,34.6,80.1,Seedling,Rice Blast Risk,0.576,Medium
35.1,38.2,12.4,Flowering,Rice Bug,0.812,High
29.4,73.1,18.0,Tillering,Stem Borer,0.9,High
22.3,72.5,76.1,Flowering,Rice Bug,0.862,High
36.0,98.1,104.2,Seedling,Rice Blast Risk,0.687,High
24.9,56.2,79.2,Flowering,Rice Blast Risk,0.505,Medium
18.8,34.6,4.3,Flowering,Rice Bug,0.503,Medium
27.9,67.6,116.5,Ripening,Rice Bug,0.992,High
20.5,74.7,16.7,Vegetative,Stem Borer,0.587,Medium
22.8,39.8,27.9,Seedling,Rice Blast Risk,0.267,Low
32.9,68.7,117.0,Seedling,Rice Bug,0.519,Medium
20.6,43.8,92.5,Seedling,Rice Blast Risk,0.481,Medium
34.1,89.1,112.4,Vegetative,Stem Borer,0.574,Medium
36.7,88.5,96.8,Ripening,Rice Bug,0.983,High
30.1,60.1,78.2,Seedling,Stem Borer,0.362,Low
32.2,97.7,34.1,Seedling,Rice Blast Risk,0.607,Medium
32.3,98.6,39.2,Seedling,Rice Blast Risk,0.495,Medium
37.9,39.0,113.7,Vegetative,Stem Borer,0.357,Low
24.8,55.7,103.3,Flowering,Rice Blast Risk,0.541,Medium
21.3,72.0,43.1,Vegetative,Stem Borer,0.668,Medium
28.4,35.9,44.8,Tillering,Stem Borer,0.719,High
28.7,56.8,35.7,Vegetative,Stem Borer,0.77,High
21.6,48.3,39.1,Ripening,Rice Blast Risk,0.576,Medium
30.3,96.6,103.3,Seedling,Stem Borer,0.751,High
18.3,58.8,1.3,Vegetative,Leaf Folder,0.405,Low
36.6,83.4,52.3,Tillering,Stem Borer,0.649,Medium
23.3,57.1,113.1,Ripening,Rice Blast Risk,0.572,Medium
18.8,39.2,65.1,Tillering,Stem Borer,0.45,Medium
20.2,90.4,54.1,Seedling,Rice Blast Risk,0.978,High
22.8,30.0,37.5,Tillering,Rice Blast Risk,0.51,Medium
23.5,33.9,8.9,Vegetative,Leaf Folder,0.377,Low
18.7,55.5,26.9,Vegetative,Stem Borer,0.326,Low
23.6,78.1,10.9,Ripening,Rice Bug,0.696,High
21.9,53.9,15.2,Ripening,Rice Bug,0.467,Medium
25.6,34.6,19.6,Vegetative,Leaf Folder,0.673,Medium
25.7,52.2,36.2,Tillering,Leaf Folder,0.661,Medium
24.8,47.1,1.3,Tillering,Leaf Folder,0.702,High
24.6,30.4,114.0,Ripening,Rice Blast Risk,0.504,Medium
19.8,67.4,14.9,Ripening,Rice Bug,0.701,High
18.5,38.2,46.0,Vegetative,Stem Borer,0.426,Medium
22.0,50.1,105.5,Seedling,Rice Blast Risk,0.51,Medium
33.1,74.9,12.8,Seedling,Rice Bug,0.47,Medium
37.8,80.8,58.0,Seedling,Rice Bug,0.407,Low
36.6,48.4,101.4,Flowering,Rice Bug,0.765,High
28.1,53.0,66.8,Flowering,Rice Bug,0.827,High
28.6,47.3,25.2,Ripening,Rice Bug,0.699,High
24.3,97.0,88.3,Seedling,Rice Blast Risk,1.0,High
33.5,43.3,81.8,Seedling,Rice Bug,0.247,Low
33.3,42.8,43.5,Seedling,Rice Bug,0.162,Low
34.9,61.2,5.6,Flowering,Rice Bug,0.705,High
35.9,43.3,0.9,Seedling,Rice Bug,0.202,Low
26.7,41.0,99.0,Flowering,Rice Blast Risk,0.534,Medium
33.3,36.7,38.6,Ripening,Rice Bug,0.771,High
34.1,74.8,16.5,Seedling,Rice Bug,0.592,Medium
24.2,72.8,62.2,Flowering,Rice Bug,0.678,Medium
36.6,75.5,110.5,Tillering,Stem Borer,0.676,Medium
19.9,84.1,1.0,Ripening,Rice Bug,0.705,High
37.9,52.8,6.7,Vegetative,Leaf Folder,0.287,Low
33.4,94.3,50.0,Vegetative,Stem Borer,0.705,High
19.9,81.3,81.1,Seedling,Brown Planthopper,0.4,Low
31.1,86.3,57.1,Flowering,Rice Bug,0.909,High
18.7,80.5,107.7,Ripening,Rice Bug,0.751,High
33.4,55.1,5.3,Seedling,Rice Bug,0.19,Low
34.0,49.8,40.8,Tillering,Stem Borer,0.401,Low
30.0,59.6,42.2,Flowering,Rice Bug,0.813,High
35.1,36.8,40.8,Flowering,Rice Bug,0.773,High
20.0,61.6,58.5,Ripening,Rice Bug,0.509,Medium
23.5,33.0,94.9,Flowering,Rice Blast Risk,0.524,Medium
26.3,30.3,38.1,Ripening,Rice Blast Risk,0.553,Medium
18.8,95.2,89.3,Ripening,Rice Bug,0.778,High
27.0,78.3,17.6,Ripening,Rice Bug,0.773,High
23.3,69.3,67.3,Tillering,Rice Blast Risk,0.545,Medium
25.9,53.9,45.0,Tillering,Leaf Folder,0.661,Medium
26.5,69.9,64.7,Tillering,Stem Borer,0.634,Medium
35.6,92.4,12.9,Ripening,Rice Bug,0.963,High
23.4,75.7,114.4,Vegetative,Stem Borer,0.735,High
35.9,72.2,108.7,Flowering,Rice Bug,1.0,High
26.5,62.2,99.2,Flowering,Rice Blast Risk,0.555,Medium
24.6,54.2,107.1,Seedling,Rice Blast Risk,0.624,Medium
28.1,78.9,17.6,Tillering,Leaf Folder,1.0,High
26.4,98.7,60.4,Seedling,Rice Blast Risk,0.988,High
23.1,59.7,38.1,Flowering,Rice Blast Risk,0.489,Medium
28.1,57.5,106.5,Tillering,Stem Borer,0.772,High
21.0,60.0,22.7,Vegetative,Stem Borer,0.439,Medium
25.0,59.8,26.4,Seedling,Brown Planthopper,0.49,Medium
29.3,99.3,82.4,Seedling,Brown Planthopper,0.808,High
26.3,79.5,10.7,Flowering,Rice Bug,0.686,High
34.5,55.1,87.9,Ripening,Rice Bug,0.686,High
23.1,56.0,32.2,Vegetative,Rice Blast Risk,0.407,Low
37.4,60.2,79.3,Ripening,Rice Bug,0.796,High
33.7,32.6,104.8,Tillering,Stem Borer,0.433,Medium
37.4,66.9,73.2,Vegetative,Rice Bug,0.505,Medium
34.8,86.8,25.5,Tillering,Brown Planthopper,0.639,Medium
20.8,76.2,5.9,Flowering,Rice Bug,0.746,High
28.5,43.9,5.4,Ripening,Rice Bug,0.759,High
21.4,81.0,10.7,Tillering,Brown Planthopper,0.739,High
34.4,80.4,69.6,Vegetative,Stem Borer,0.714,High
29.7,48.4,41.8,Flowering,Rice Bug,0.783,High
23.3,73.6,29.2,Tillering,Stem Borer,0.694,High
36.6,72.8,26.3,Vegetative,Stem Borer,0.759,High
20.3,88.8,113.8,Tillering,Rice Blast Risk,1.0,High
29.3,39.5,14.3,Tillering,Leaf Folder,0.591,Medium
32.4,43.6,36.6,Seedling,Rice Bug,0.319,Low
19.2,64.0,56.6,Seedling,Rice Blast Risk,0.261,Low
30.0,33.1,0.1,Flowering,Rice Bug,0.773,High
34.3,59.1,110.5,Seedling,Rice Bug,0.264,Low
19.4,85.2,11.9,Tillering,Brown Planthopper,0.783,High
28.2,40.4,81.9,Flowering,Rice Bug,0.668,Medium
23.2,62.2,75.5,Vegetative,Rice Blast Risk,0.612,Medium
31.3,99.3,97.1,Vegetative,Stem Borer,0.976,High
20.4,65.4,78.2,Ripening,Rice Bug,0.805,High
36.7,64.9,92.3,Seedling,Rice Bug,0.256,Low
35.9,69.1,50.5,Flowering,Rice Bug,0.938,High
21.7,43.0,58.6,Seedling,Rice Blast Risk,0.525,Medium
24.5,40.3,84.2,Ripening,Rice Blast Risk,0.601,Medium
29.8,77.4,68.2,Tillering,Leaf Folder,0.989,High
32.4,57.7,61.4,Seedling,Rice Bug,0.219,Low
26.9,50.3,24.7,Flowering,Brown Planthopper,0.569,Medium
21.1,32.2,31.0,Seedling,Rice Blast Risk,0.582,Medium
20.1,89.2,43.0,Vegetative,Rice Blast Risk,1.0,High
38.0,32.3,1.1,Tillering,Leaf Folder,0.243,Low
27.1,82.5,50.1,Flowering,Rice Bug,1.0,High
35.5,56.7,0.3,Tillering,Leaf Folder,0.36,Low
27.6,71.9,67.8,Ripening,Rice Bug,1.0,High
36.4,47.3,84.5,Tillering,Stem Borer,0.378,Low
19.8,40.9,67.5,Vegetative,Stem Borer,0.4,Low
20.3,67.3,83.2,Vegetative,Rice Blast Risk,0.56,Medium
36.6,78.7,0.0,Ripening,Rice Bug,0.948,High
36.9,43.7,7.1,Flowering,Rice Bug,0.71,High
24.3,60.5,83.8,Seedling,Rice Blast Risk,0.609,Medium
25.1,61.1,96.3,Flowering,Rice Blast Risk,0.472,Medium
27.0,45.1,86.1,Tillering,Stem Borer,0.722,High
26.3,69.6,79.6,Vegetative,Stem Borer,0.681,High
21.8,40.2,84.9,Seedling,Rice Blast Risk,0.502,Medium
36.0,65.7,88.8,Ripening,Rice Bug,1.0,High
23.1,37.9,86.9,Seedling,Rice Blast Risk,0.502,Medium
32.1,64.0,88.6,Ripening,Rice Bug,0.693,High
19.3,51.8,8.9,Seedling,Brown Planthopper,0.091,Low
18.8,61.7,7.6,Tillering,Leaf Folder,0.312,Low
31.1,60.4,43.3,Seedling,Stem Borer,0.4,Low
24.8,93.6,63.3,Tillering,Leaf Folder,1.0,High
31.1,64.3,91.5,Ripening,Rice Bug,0.762,High
19.9,87.3,40.2,Tillering,Stem Borer,0.694,High
37.0,45.8,33.0,Tillering,Stem Borer,0.365,Low
33.0,54.6,93.8,Seedling,Rice Bug,0.282,Low
35.5,35.3,29.9,Ripening,Rice Bug,0.744,High
20.7,59.5,98.5,Vegetative,Rice Blast Risk,0.525,Medium
24.4,76.8,21.3,Tillering,Leaf Folder,1.0,High
25.4,88.7,43.1,Ripening,Rice Blast Risk,0.994,High
28.7,69.6,48.1,Flowering,Rice Bug,1.0,High
23.9,74.8,35.9,Flowering,Rice Bug,0.811,High
19.2,42.4,0.4,Seedling,Brown Planthopper,0.164,Low
25.4,32.6,28.3,Tillering,Leaf Folder,0.685,High
23.1,85.4,40.5,Tillering,Rice Blast Risk,1.0,High
25.7,41.7,37.6,Seedling,Rice Blast Risk,0.547,Medium
21.9,36.4,94.3,Vegetative,Rice Blast Risk,0.538,Medium
23.2,95.6,5.7,Ripening,Rice Blast Risk,0.692,High
30.5,97.4,46.7,Ripening,Rice Bug,1.0,High
25.8,73.1,4.5,Ripening,Rice Bug,0.762,High
24.9,56.5,111.7,Ripening,Rice Blast Risk,0.591,Medium
28.7,88.3,94.8,Ripening,Rice Bug,0.994,High
33.4,44.3,117.9,Seedling,Rice Bug,0.283,Low
25.6,60.1,109.2,Ripening,Rice Blast Risk,0.481,Medium
29.8,55.0,37.9,Flowering,Rice Bug,0.692,High
37.3,93.9,83.0,Ripening,Rice Bug,0.876,High
28.4,94.4,36.8,Flowering,Rice Bug,0.993,High
36.2,75.6,106.6,Seedling,Rice Bug,0.461,Medium
33.9,37.8,49.3,Tillering,Stem Borer,0.355,Low
19.2,63.8,45.1,Flowering,Rice Bug,0.517,Medium
26.6,47.2,109.7,Seedling,Rice Blast Risk,0.529,Medium
32.0,91.9,100.4,Tillering,Stem Borer,0.928,High
37.7,39.7,116.0,Flowering,Rice Bug,0.877,High
27.2,33.8,8.0,Tillering,Leaf Folder,0.648,Medium
19.9,79.3,29.2,Flowering,Rice Bug,0.696,High
29.2,61.7,36.1,Seedling,Brown Planthopper,0.367,Low
20.5,88.7,50.9,Vegetative,Rice Blast Risk,0.991,High
33.0,35.2,56.8,Ripening,Rice Bug,0.741,High
28.2,86.1,35.0,Tillering,Leaf Folder,1.0,High
32.5,32.6,94.9,Seedling,Rice Bug,0.246,Low
35.4,32.0,26.8,Seedling,Rice Bug,0.343,Low
30.6,62.3,83.6,Tillering,Stem Borer,0.678,Medium
30.2,45.5,102.2,Ripening,Rice Bug,0.771,High
33.1,71.6,72.4,Seedling,Rice Bug,0.551,Medium
34.8,31.8,42.5,Seedling,Rice Bug,0.31,Low
35.4,32.5,22.5,Vegetative,Stem Borer,0.466,Medium
18.7,80.9,16.1,Vegetative,Brown Planthopper,0.686,High
29.1,44.7,89.3,Seedling,Stem Borer,0.4,Low
22.3,75.9,56.3,Vegetative,Stem Borer,0.576,Medium
35.2,82.5,5.6,Flowering,Rice Bug,0.99,High
31.0,34.2,118.1,Ripening,Rice Bug,0.805,High
26.4,83.9,80.6,Vegetative,Leaf Folder,1.0,High
21.8,48.8,101.3,Flowering,Rice Blast Risk,0.546,Medium
24.8,57.3,52.6,Ripening,Rice Blast Risk,0.635,Medium
32.1,36.1,114.7,Seedling,Rice Bug,0.231,Low
22.1,88.7,23.9,Ripening,Rice Blast Risk,0.764,High
19.9,69.3,22.2,Seedling,Rice Bug,0.227,Low
35.8,65.3,106.8,Flowering,Rice Bug,0.944,High
33.3,97.8,107.0,Flowering,Rice Bug,1.0,High
22.0,53.4,59.9,Ripening,Rice Blast Risk,0.564,Medium
23.8,92.4,15.1,Tillering,Rice Blast Risk,0.83,High
37.4,80.4,36.6,Flowering,Rice Bug,0.979,High
32.2,95.0,90.5,Seedling,Rice Blast Risk,0.647,Medium
30.2,93.5,101.5,Tillering,Stem Borer,0.891,High
24.2,99.4,41.7,Ripening,Rice Blast Risk,1.0,High
24.0,39.2,7.3,Seedling,Rice Blast Risk,0.355,Low
18.8,85.7,79.9,Seedling,Rice Blast Risk,0.595,Medium
32.6,86.3,88.7,Flowering,Rice Bug,0.995,High
18.9,75.1,50.9,Tillering,Stem Borer,0.687,High
18.1,49.5,70.0,Tillering,Stem Borer,0.488,Medium
32.6,97.6,118.5,Vegetative,Stem Borer,0.647,Medium
37.0,44.3,29.4,Seedling,Rice Bug,0.267,Low
33.1,65.0,68.8,Flowering,Rice Bug,0.695,High
27.4,66.5,73.3,Vegetative,Stem Borer,0.672,Medium
27.7,41.3,65.9,Flowering,Rice Bug,0.764,High
26.7,80.6,104.3,Tillering,Leaf Folder,0.989,High
24.5,36.2,72.6,Vegetative,Leaf Folder,0.65,Medium
28.4,78.5,60.9,Vegetative,Leaf Folder,1.0,High
26.6,89.4,14.8,Flowering,Brown Planthopper,0.975,High
30.0,54.5,84.4,Vegetative,Stem Borer,0.744,High
36.0,79.7,15.9,Ripening,Rice Bug,0.985,High
37.9,41.0,3.2,Tillering,Leaf Folder,0.345,Low
19.6,89.2,58.6,Ripening,Rice Bug,0.768,High
25.7,96.6,68.7,Tillering,Leaf Folder,1.0,High
21.6,40.7,119.9,Tillering,Rice Blast Risk,0.582,Medium
25.0,78.4,85.5,Tillering,Leaf Folder,1.0,High
23.7,65.4,101.8,Tillering,Rice Blast Risk,0.573,Medium
21.5,67.2,41.6,Tillering,Rice Blast Risk,0.534,Medium
33.3,79.5,61.1,Ripening,Rice Bug,0.947,High
27.9,64.2,116.9,Flowering,Rice Bug,0.679,Medium
36.4,72.0,50.1,Seedling,Rice Bug,0.416,Low
18.7,46.2,96.9,Seedling,Rice Blast Risk,0.288,Low
19.3,56.5,63.1,Seedling,Rice Blast Risk,0.089,Low
26.1,90.6,26.9,Flowering,Brown Planthopper,1.0,High
19.6,37.7,69.7,Vegetative,Stem Borer,0.359,Low
23.3,71.8,26.2,Vegetative,Stem Borer,0.759,High
37.7,42.9,0.4,Ripening,Rice Bug,0.64,Medium
22.2,89.3,28.3,Seedling,Rice Blast Risk,0.788,High
22.0,70.5,23.2,Seedling,Stem Borer,0.473,Medium
29.5,58.2,44.5,Seedling,Stem Borer,0.436,Medium
28.0,47.5,106.6,Vegetative,Stem Borer,0.683,High
29.6,60.6,46.5,Seedling,Stem Borer,0.303,Low
25.5,97.0,101.4,Flowering,Rice Blast Risk,0.934,High
34.5,65.6,66.7,Flowering,Rice Bug,1.0,High
20.8,62.9,0.9,Seedling,Rice Blast Risk,0.333,Low
26.6,82.2,22.6,Tillering,Leaf Folder,0.996,High
31.8,56.5,111.8,Vegetative,Stem Borer,0.714,High
35.4,59.9,72.5,Seedling,Rice Bug,0.185,Low
25.4,53.6,111.5,Tillering,Leaf Folder,0.67,Medium
29.4,40.6,37.2,Flowering,Rice Bug,0.729,High
19.4,80.0,86.0,Vegetative,Stem Borer,0.715,High
21.4,91.1,92.6,Flowering,Rice Blast Risk,0.971,High
19.4,93.4,117.1,Ripening,Rice Bug,0.671,Medium
32.6,91.7,2.2,Seedling,Brown Planthopper,0.479,Medium
23.8,61.6,114.3,Seedling,Rice Blast Risk,0.582,Medium
32.5,49.9,47.0,Vegetative,Stem Borer,0.42,Low
19.3,74.7,100.6,Ripening,Rice Bug,0.752,High
35.3,96.8,65.4,Seedling,Rice Blast Risk,0.695,High
34.7,80.9,67.8,Tillering,Stem Borer,0.69,High
19.8,64.6,43.1,Tillering,Stem Borer,0.403,Low
18.5,78.2,99.4,Seedling,Stem Borer,0.376,Low
19.1,84.1,31.7,Seedling,Brown Planthopper,0.548,Medium
35.1,94.3,59.1,Seedling,Rice Blast Risk,0.665,Medium
22.7,83.4,67.2,Seedling,Rice Blast Risk,0.522,Medium
29.0,60.3,89.1,Tillering,Stem Borer,0.626,Medium
26.5,49.2,56.6,Ripening,Rice Blast Risk,0.605,Medium
33.9,65.0,81.6,Vegetative,Stem Borer,0.363,Low
27.8,53.0,58.2,Vegetative,Stem Borer,0.704,High
28.0,96.0,79.1,Vegetative,Leaf Folder,1.0,High
37.8,65.6,80.9,Ripening,Rice Bug,1.0,High
21.0,63.0,85.1,Ripening,Rice Blast Risk,0.631,Medium
34.6,54.4,98.8,Flowering,Rice Bug,0.723,High
19.0,74.8,64.9,Tillering,Stem Borer,0.754,High
27.6,66.4,23.2,Seedling,Rice Bug,0.501,Medium
35.7,39.0,81.6,Ripening,Rice Bug,0.768,High
31.3,90.8,9.3,Seedling,Stem Borer,0.701,High
31.7,55.1,26.3,Seedling,Stem Borer,0.386,Low
23.3,60.3,95.1,Flowering,Rice Blast Risk,0.551,Medium
26.4,44.4,52.2,Seedling,Rice Blast Risk,0.505,Medium
25.3,68.7,59.8,Seedling,Rice Blast Risk,0.594,Medium
28.4,79.1,118.5,Tillering,Leaf Folder,0.972,High
27.2,91.7,28.2,Seedling,Rice Blast Risk,0.851,High
24.5,33.6,2.3,Vegetative,Leaf Folder,0.568,Medium
24.1,98.1,13.4,Flowering,Rice Blast Risk,0.827,High
23.0,79.3,29.3,Seedling,Stem Borer,0.368,Low
25.3,49.9,87.1,Flowering,Rice Blast Risk,0.587,Medium
21.0,44.3,93.1,Seedling,Rice Blast Risk,0.549,Medium
35.4,50.7,67.9,Flowering,Rice Bug,0.723,High
30.0,91.3,30.6,Seedling,Stem Borer,0.681,High
20.7,50.4,62.6,Flowering,Rice Blast Risk,0.507,Medium
31.9,62.4,1.8,Flowering,Rice Bug,0.792,High
35.0,79.4,81.8,Flowering,Rice Bug,0.948,High
22.8,91.0,73.7,Vegetative,Rice Blast Risk,0.987,High
21.0,76.1,2.6,Vegetative,Leaf Folder,0.717,High
18.2,82.7,98.0,Ripening,Rice Bug,0.831,High
18.9,42.1,91.6,Flowering,Rice Bug,0.5,Medium
33.2,91.4,37.0,Seedling,Rice Blast Risk,0.638,Medium
37.7,49.3,76.2,Seedling,Rice Bug,0.264,Low
18.9,39.0,72.2,Vegetative,Stem Borer,0.296,Low
33.0,98.3,17.2,Flowering,Rice Bug,0.94,High
19.4,44.1,23.2,Vegetative,Stem Borer,0.381,Low
29.8,39.6,82.0,Ripening,Rice Bug,0.714,High
33.1,73.8,112.0,Tillering,Stem Borer,0.62,Medium
25.2,52.3,69.2,Ripening,Rice Blast Risk,0.593,Medium
18.2,39.3,68.1,Ripening,Rice Bug,0.513,Medium
29.9,72.1,77.6,Tillering,Stem Borer,1.0,High
37.8,83.1,52.9,Ripening,Rice Bug,0.965,High
23.2,85.5,6.5,Tillering,Rice Blast Risk,0.804,High
21.8,40.9,47.6,Seedling,Rice Blast Risk,0.576,Medium
20.5,69.0,108.0,Vegetative,Rice Blast Risk,0.537,Medium
29.1,87.0,96.6,Tillering,Leaf Folder,1.0,High
29.9,41.3,111.3,Ripening,Rice Bug,0.71,High
33.8,44.5,18.3,Ripening,Rice Bug,0.755,High
33.1,30.2,60.7,Seedling,Rice Bug,0.307,Low
35.9,66.7,70.2,Seedling,Rice Bug,0.562,Medium
34.1,43.6,25.2,Tillering,Stem Borer,0.466,Medium
22.9,80.7,24.1,Tillering,Brown Planthopper,0.714,High
29.1,97.4,93.8,Flowering,Rice Bug,1.0,High
23.9,44.6,80.6,Vegetative,Rice Blast Risk,0.528,Medium
24.6,75.4,77.7,Ripening,Rice Bug,0.66,Medium
36.6,44.8,32.0,Tillering,Stem Borer,0.333,Low
31.6,31.3,60.8,Vegetative,Stem Borer,0.692,High
37.5,83.1,2.8,Tillering,Brown Planthopper,0.695,High
26.3,60.4,15.6,Ripening,Rice Bug,0.571,Medium
28.7,96.3,62.2,Vegetative,Leaf Folder,1.0,High
27.7,67.4,37.2,Tillering,Stem Borer,0.666,Medium
20.1,41.0,115.9,Ripening,Rice Blast Risk,0.591,Medium
22.7,61.5,56.6,Seedling,Rice Blast Risk,0.526,Medium
28.6,44.2,10.0,Tillering,Leaf Folder,0.684,High
19.3,91.5,2.1,Flowering,Rice Bug,0.79,High
36.6,78.4,87.0,Ripening,Rice Bug,1.0,High
20.5,53.9,20.6,Seedling,Rice Blast Risk,0.325,Low
22.0,66.9,22.5,Flowering,Rice Bug,0.801,High
